Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re
NaCrSe2,495.9,652.9,941.0,,,,,,,,,,,,,,,,,
NaFe(PO3)3,495.9,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,
Na2Cu(PO3)4,495.9,,,,1012.0,1314.0,745.5,,,,,,,,,,,,,
NaSbWO7,495.9,,,,,1314.0,,833.8,770.0,,,,,,,,,,,
Na6V2P(CO4)4,495.9,,,,1012.0,1314.0,,,,650.0,1086.0,,,,,,,,,
NaV5O10,495.9,,,,,1314.0,,,,650.0,,,,,,,,,,
Na5Mn2P2(CO7)2,495.9,,,,1012.0,1314.0,,,,,1086.0,717.4,,,,,,,,
Na2NiH12(SO7)2,495.9,,,,,1314.0,,,,,,,736.7,1312.0,999.6,,,,,
NaMo2P3O13,495.9,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,
Na2MnPCO7,495.9,,,,1012.0,1314.0,,,,,1086.0,717.4,,,,,,,,
NaP4(W3O11)4,495.9,,,,1012.0,1314.0,,,770.0,,,,,,,,,,,
NaCr2O4,495.9,652.9,,,,1314.0,,,,,,,,,,,,,,
Na5MnO4,495.9,,,,,1314.0,,,,,,717.4,,,,,,,,
Na6CuO4,495.9,,,,,1314.0,745.5,,,,,,,,,,,,,
NaCoPO4,495.9,,,,1012.0,1314.0,,,,,,,,,,,758.0,,,
NaV(SiO3)2,495.9,,,,,1314.0,,,,650.0,,,,,,,,786.5,,
NaMnAsO4,495.9,,,,,1314.0,,,,,,717.4,,,,,,,947.0,
NaMnPO4,495.9,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,
NaReO3,495.9,,,,,1314.0,,,,,,,,,,,,,,760.0
Na2CoP2O7,495.9,,,,1012.0,1314.0,,,,,,,,,,,758.0,,,
NaCr3O8,495.9,652.9,,,,1314.0,,,,,,,,,,,,,,
