Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re
NaCrSe2,11,24,34,,,,,,,,,,,,,,,,,
NaFe(PO3)3,11,,,26,15,8,,,,,,,,,,,,,,
Na2Cu(PO3)4,11,,,,15,8,29,,,,,,,,,,,,,
NaSbWO7,11,,,,,8,,51,74,,,,,,,,,,,
Na6V2P(CO4)4,11,,,,15,8,,,,23,6,,,,,,,,,
NaV5O10,11,,,,,8,,,,23,,,,,,,,,,
Na5Mn2P2(CO7)2,11,,,,15,8,,,,,6,25,,,,,,,,
Na2NiH12(SO7)2,11,,,,,8,,,,,,,28,1,16,,,,,
NaMo2P3O13,11,,,,15,8,,,,,,,,,,42,,,,
Na2MnPCO7,11,,,,15,8,,,,,6,25,,,,,,,,
NaP4(W3O11)4,11,,,,15,8,,,74,,,,,,,,,,,
NaCr2O4,11,24,,,,8,,,,,,,,,,,,,,
Na5MnO4,11,,,,,8,,,,,,25,,,,,,,,
Na6CuO4,11,,,,,8,29,,,,,,,,,,,,,
NaCoPO4,11,,,,15,8,,,,,,,,,,,27,,,
NaV(SiO3)2,11,,,,,8,,,,23,,,,,,,,14,,
NaMnAsO4,11,,,,,8,,,,,,25,,,,,,,33,
NaMnPO4,11,,,,15,8,,,,,,25,,,,,,,,
NaReO3,11,,,,,8,,,,,,,,,,,,,,75
Na2CoP2O7,11,,,,15,8,,,,,,,,,,,27,,,
NaCr3O8,11,24,,,,8,,,,,,,,,,,,,,
