Battery ID,Material IDs,Charge ID,Discharge ID,Volumetric Capacity (Ah/L),Average Voltage (V),Band Gap_dcg,Conduction Band Min_dcg,Valence Band Max_dcg,Density_dcg,Atomic Density_dcg,Total Energy_dcg,Fermi Energy_dcg,Energy Per Atom_dcg,Formation Energy Per Atom_dcg,Energy above Hull_dcg,Equilibrium Reaction Energy Per Atom,Number of Magnetic Sites_dcg,Number of Unique Magnetic Sites_dcg,Ionic Energy_dcg,Number of atoms_dcg,Band Gap_cg,Conduction Band Min_cg,Valence Band Max_cg,Density_cg,Atomic Density_cg,Fermi Energy_cg,Energy Per Atom_cg,Formation Energy Per Atom_cg,Energy above Hull_cg,Equilibrium Reaction Energy Per Atom.1,Number of Magnetic Sites_cg,Number of Unique Magnetic Sites_cg,Ionic Energy_cg,a_dcg,b_dcg,c_dcg,alpha_dcg,beta_dcg,gamma_dcg,a_cg,b_cg,c_cg,alpha_cg,beta_cg,gamma_cg,sum_NdValence_dcg,sum_NfValence_dcg,sum_NsUnfilled_dcg,sum_GSbandgap_dcg,sum_GSmagmom_dcg,avg_MeltingT_dcg,avg_NdValence_dcg,avg_NValence_dcg,avg_NpUnfilled_dcg,avg_NUnfilled_dcg,avg_GSvolume_pa_dcg,dev_MendeleevNumber_dcg,dev_MeltingT_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NdValence_dcg,dev_NValence_dcg,dev_NpUnfilled_dcg,dev_GSvolume_pa_dcg,dev_SpaceGroupNumber_dcg,range_Row_dcg,range_NsValence_dcg,range_NsUnfilled_dcg,max_NsValence_dcg,max_NsUnfilled_dcg,max_GSvolume_pa_dcg,max_SpaceGroupNumber_dcg,min_MendeleevNumber_dcg,min_Column_dcg,min_Electronegativity_dcg,min_NsValence_dcg,min_NValence_dcg,min_NUnfilled_dcg,mode_NValence_dcg,mode_NsUnfilled_dcg,mode_GSbandgap_dcg,mode_SpaceGroupNumber_dcg,sum_NdValence_cg,sum_NfValence_cg,sum_NsUnfilled_cg,sum_NdUnfilled_cg,sum_GSbandgap_cg,sum_GSmagmom_cg,avg_MendeleevNumber_cg,avg_MeltingT_cg,avg_Column_cg,avg_NpValence_cg,avg_NdValence_cg,avg_NfValence_cg,avg_NValence_cg,avg_NpUnfilled_cg,avg_NdUnfilled_cg,avg_NUnfilled_cg,avg_GSvolume_pa_cg,avg_GSbandgap_cg,avg_GSmagmom_cg,avg_SpaceGroupNumber_cg,dev_MendeleevNumber_cg,dev_MeltingT_cg,dev_Column_cg,dev_Row_cg,dev_CovalentRadius_cg,dev_Electronegativity_cg,dev_NpValence_cg,dev_NdValence_cg,dev_NValence_cg,dev_NpUnfilled_cg,dev_GSmagmom_cg,dev_SpaceGroupNumber_cg,range_Row_cg,range_CovalentRadius_cg,range_Electronegativity_cg,range_NdValence_cg,range_NValence_cg,max_CovalentRadius_cg,max_NsValence_cg,max_NdValence_cg,max_NValence_cg,max_SpaceGroupNumber_cg,min_NdValence_cg,min_NValence_cg,min_NUnfilled_cg,min_GSvolume_pa_cg,mode_Electronegativity_cg,mode_NsValence_cg,mode_NdValence_cg,mode_NValence_cg,mode_NsUnfilled_cg,mode_NpUnfilled_cg,mode_NUnfilled_cg,mode_GSvolume_pa_cg,mode_GSbandgap_cg,mode_SpaceGroupNumber_cg,Gravimetric Capacity (mAh/g)
mp-10810_Na,"mp-10810, mp-1111315",mp-10810,mp-1111315,539.0386884398923,2.412688231551723,0.0,3.770216822429907,2.178742990654205,3.174774058024164,16.51269471169422,-20.953389064,2.53739466,-5.238347266,-2.7541500248103445,0.395014881333334,-0.0253667110221045,1.0,1.0,6.196452413398398,4.0,0.1936,-2.1693,-2.3629,4.087143253120143,13.698135231819736,-2.35940059,-5.61413070125,-2.839515473125,0.0055660118750004,-0.056951962266642,1.0,1.0,8.147563580000002,6.158066,6.158066,6.158066,60.0,60.0,60.0,5.0454,5.182334,5.754623,93.44655,116.612664,119.26427,12.0,0.0,3.0,11.82,2.25333333333e-05,423.867,1.2,5.9,0.6,1.7000000000000002,14.975166666660002,31.2,465.6392000000001,6.120000000000001,0.8400000000000001,49.08,1.2708,2.4000000000000004,1.92,2.34,0.48,6.321199999992,98.04000000000002,3.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,7.0,0.0,1.97,15.0,12.0,0.0,1.0,8.0,11.82,2.25333333333e-05,83.25,437.11625,14.625,3.75,1.5,0.0,7.125,0.75,1.0,1.875,11.408124999999998,1.4775,2.8166666666625e-06,63.625,14.625,575.424375,3.5625,0.9375,35.8125,0.8418750000000002,1.875,2.25,0.96875,0.375,4.929166666659376e-06,72.9375,3.0,103.0,2.44,10.0,7.0,160.0,2.0,10.0,11.0,225.0,0.0,4.0,1.0,9.7075,3.98,2.0,0.0,7.0,0.0,1.0,1.0,9.7075,1.97,15.0,169.78804740173712
mp-771169_Na,"mp-773138, mp-771169",mp-773138,mp-771169,270.199874463949,4.387437486551736,2.4049,2.6515,0.2466,2.993243262338979,13.725921285830076,-35.71412867916667,0.13733058,-7.142825735833334,-2.0751004914044544,0.0,-0.033119521197916,2.0,2.0,6.196452413398398,5.0,0.6733,-0.1193,-0.7926,2.8265319218349134,14.629069360526332,-0.73650055,-7.273086004545454,-1.864888037300156,0.0532840744054103,-0.056951962266642,2.0,1.0,72.86115611298726,9.127105,6.741955,5.357505,89.998992,87.771106,90.002417,6.472455,5.372645,9.265613,87.273375,90.0,90.0,15.0,0.0,3.0,4.496,0.0,684.8616666666667,1.25,5.75,1.75,2.416666666666667,13.43555555555,25.458333333333336,839.7358333333334,4.874999999999999,0.6666666666666667,35.66666666666667,0.8701388888888888,1.5,2.083333333333333,1.875,0.875,6.725833333324999,95.95833333333334,2.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,15.0,0.0,2.0,5.0,4.496,0.0,74.63636363636363,713.4063636363636,13.454545454545451,3.0,1.3636363636363638,0.0,6.181818181818182,1.9090909090909087,0.4545454545454546,2.5454545454545454,11.998484848481818,0.4087272727272728,0.0,82.00000000000001,17.86776859504133,900.5056198347108,3.619834710743803,0.6611570247933884,29.38842975206612,0.7451239669421488,1.2727272727272727,2.231404958677686,1.6033057851239667,0.6942148760330578,0.0,89.0909090909091,2.0,100.0,2.51,10.0,14.0,166.0,2.0,10.0,15.0,229.0,0.0,1.0,1.0,5.64,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,90.26993487974453
mp-755361_Na,"mp-773190, mp-755361",mp-773190,mp-755361,266.1884261563742,2.894381646551725,2.2396000000000003,3.8182,1.5786,3.154746572873398,12.86101877375658,-34.15551961346154,1.66844463,-6.831103922692308,-2.291349068467065,0.0213068980769106,-0.0253667110221045,2.0,1.0,6.196452413398398,5.0,1.5444,1.8083,0.2639,2.8376800004598244,14.368454265496018,0.31137755,-7.0489536712500005,-2.2410963536266766,0.0828826537698468,-0.056951962266642,4.0,1.0,72.86115611298726,5.398962,9.162325,6.762658,90.000115,89.999992,88.329257,5.601849,18.74156,6.582729,90.015025,90.021512,86.329542,13.0,0.0,3.0,1.524,0.0,547.4776923076923,1.0,5.230769230769231,1.6923076923076923,2.4615384615384617,14.909423076915385,30.674556213017752,612.0872189349112,5.775147928994084,0.6627218934911243,40.59171597633136,0.9940828402366864,1.7396449704142012,1.692307692307692,2.3313609467455625,1.0414201183431953,7.7334319526520705,97.42011834319528,2.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,13.0,0.0,2.0,7.0,1.524,0.0,67.91666666666666,562.195,12.25,2.666666666666667,1.0833333333333333,0.0,5.583333333333333,1.8333333333333333,0.5833333333333333,2.583333333333333,13.71493055555,0.127,0.0,91.91666666666666,25.625000000000004,655.7358333333334,4.958333333333333,0.6666666666666667,36.77777777777778,0.9226388888888888,1.6111111111111112,1.805555555555556,2.055555555555556,0.9166666666666664,0.0,93.23611111111111,2.0,100.0,2.51,10.0,14.0,166.0,2.0,10.0,15.0,229.0,0.0,1.0,1.0,7.1725,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,84.37711870527087
mp-771066_Na,"mp-771767, mp-771066",mp-771767,mp-771066,270.4632622527544,3.710628494051722,0.3547999999999998,1.9143,1.5595,3.2829806169154034,12.6696039725889,-32.025808883653845,1.61578713,-6.405161776730769,-2.0173752513516794,0.0773886284729901,-0.0253667110221045,8.0,8.0,6.196452413398398,5.0,0.3303,0.7082,0.3779,3.149852504224897,13.29552798536919,0.43888625,-6.519390019583334,-1.8761650582100096,0.1131767726273151,-0.056951962266642,2.0,1.0,72.86115611298726,5.293075,11.394728,11.386401,106.363167,90.839277,89.135509,6.415683,5.402221,9.218352,87.112599,90.0,90.0,17.0,0.0,3.0,1.524,1.5484712,515.5546153846153,1.307692307692308,5.538461538461538,1.6923076923076923,2.153846153846154,14.696730769223077,29.39644970414201,562.9747928994083,5.349112426035504,0.6627218934911243,38.03550295857988,0.9733727810650888,1.7396449704142012,2.21301775147929,2.485207100591716,1.0414201183431953,7.864319526616567,94.5207100591716,2.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,17.0,0.0,2.0,3.0,1.524,1.5484712,68.91666666666666,527.6116666666666,12.583333333333334,2.666666666666667,1.4166666666666663,0.0,5.916666666666666,1.8333333333333333,0.25,2.25,13.484513888883336,0.127,0.1290392666666666,88.99999999999999,24.125000000000004,603.8608333333332,4.458333333333334,0.6666666666666667,33.77777777777777,0.8983333333333332,1.6111111111111112,2.361111111111111,2.1250000000000004,0.9166666666666664,0.2365719888888888,89.83333333333334,2.0,100.0,2.51,10.0,14.0,166.0,2.0,10.0,15.0,229.0,0.0,1.0,1.0,7.1725,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,82.30631955264056
mp-17876_Na,"mp-510755, mp-17876",mp-510755,mp-17876,479.1636017938636,3.4122390790517194,1.7334999999999998,3.8286,2.0951,3.87684530571984,13.268628422342962,-28.068738238571427,2.15853857,-7.017184559642857,-2.0271254402832506,0.0,-0.0321109044642842,4.0,1.0,6.196452413398398,4.0,0.0726999999999999,1.3704,1.2977,4.01376133621681,13.366827343109335,1.32739601,-7.397587924166667,-1.7962731671551733,0.0313226050000006,-0.056951962266642,4.0,1.0,72.86115611298726,5.245128,6.478988,10.932533,90.0,90.0,90.0,5.075036,6.147788,10.282094,90.000015,90.000157,90.000051,15.0,0.0,1.0,0.0,0.000310120689655,457.01,2.1428571428571423,6.7142857142857135,1.5714285714285714,2.4285714285714284,14.046559934314288,24.24489795918368,484.28,4.816326530612246,0.8163265306122449,36.89795918367346,0.9240816326530612,1.5510204081632653,3.0612244897959178,2.4489795918367343,0.8979591836734693,6.6643467041918365,94.0408163265306,2.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,15.0,0.0,0.0,5.0,0.0,0.000310120689655,80.66666666666666,471.3666666666667,14.333333333333332,3.1666666666666665,2.5,0.0,7.666666666666666,1.8333333333333333,0.8333333333333333,2.6666666666666665,11.513764367816666,0.0,5.168678160916666e-05,71.83333333333333,9.55555555555556,555.4222222222222,2.444444444444445,0.8888888888888888,28.0,0.7,1.1111111111111112,3.333333333333333,2.444444444444444,0.6111111111111112,8.614463601527776e-05,79.77777777777777,2.0,73.0,1.89,10.0,9.0,139.0,2.0,10.0,15.0,217.0,0.0,6.0,2.0,9.105,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,123.59626547938969
mp-772152_Na,"mp-772152, mp-772664",mp-772152,mp-773177,538.4066921817041,3.7624218903017272,2.6166,4.0894,1.4728,3.282799610283195,12.716982889946998,-32.60365805673077,1.55607565,-6.520731611346155,-1.9368471073773208,0.0,-0.028229858150655,4.0,1.0,6.196452413398398,5.0,0.0,1.5241351219512196,0.7490092682926829,3.0392406271260546,13.949781341930668,0.0235208,-6.781783325454546,-1.6049244195728845,0.0435996616701119,-0.056951962266642,2.0,1.0,72.86115611298726,8.64793,8.648785,10.475512,107.210842,107.208715,105.023559,6.234898,5.33175,9.245734,86.865024,90.0,90.0,17.0,0.0,3.0,4.496,1.5484712,629.0161538461539,1.307692307692308,5.615384615384616,1.6153846153846154,2.0769230769230766,14.578846153838462,29.633136094674555,737.5310059171599,5.396449704142011,0.6627218934911243,38.50887573964498,0.9311242603550296,1.6449704142011834,2.21301775147929,2.378698224852071,0.9940828402366864,7.936863905314793,96.84023668639054,2.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,17.0,0.0,1.0,3.0,4.496,1.5484712,75.45454545454545,675.9518181818181,13.727272727272728,3.0,1.5454545454545454,0.0,6.454545454545455,1.9090909090909087,0.2727272727272727,2.2727272727272725,11.912575757572728,0.4087272727272728,0.1407701090909091,78.81818181818183,16.52892561983471,846.0262809917356,3.173553719008265,0.6611570247933884,27.66942148760331,0.7196694214876033,1.2727272727272727,2.5289256198347108,2.016528925619835,0.6942148760330578,0.255945652892562,85.0413223140496,2.0,100.0,2.51,10.0,14.0,166.0,2.0,10.0,15.0,229.0,0.0,1.0,1.0,5.64,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,164.00839402719313
mp-756330_Na,"mp-756330, mp-771393",mp-756330,mp-771393,268.4581686410172,3.612905546551719,2.0654,3.3636,1.2982,3.230762664036418,12.75228227728729,-33.06918543461538,1.49244239,-6.613837086923076,-2.121304145005525,0.0300330473901091,-0.0253667110221045,2.0,1.0,6.196452413398398,5.0,0.2686,0.0203,-0.2483,2.9264939762564435,14.164257100516512,-0.38261123,-6.753704274166666,-1.997004028210009,0.0558057079092195,-0.056951962266642,4.0,7.0,72.86115611298726,6.867736,5.297286,9.115414,88.885614,90.0,90.0,9.184727,6.860825,5.398658,90.0,87.789057,90.0,16.0,0.0,3.0,1.524,2.1106628,518.8623076923077,1.2307692307692308,5.461538461538462,1.6923076923076923,2.230769230769231,14.734038461530773,29.715976331360945,568.063550295858,5.455621301775148,0.6627218934911243,38.60355029585799,0.9775147928994082,1.7396449704142012,2.0828402366863905,2.437869822485208,1.0414201183431953,7.841360946734913,97.42011834319528,2.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,16.0,0.0,2.0,4.0,1.524,2.1106628,68.66666666666666,531.1949999999999,12.5,2.666666666666667,1.3333333333333333,0.0,5.833333333333333,1.8333333333333333,0.3333333333333333,2.333333333333333,13.52493055555,0.127,0.1758885666666666,91.91666666666666,24.500000000000004,609.2358333333333,4.583333333333334,0.6666666666666667,34.44444444444444,0.9031944444444444,1.6111111111111112,2.2222222222222223,2.083333333333333,0.9166666666666664,0.3224623722222222,93.23611111111111,2.0,100.0,2.51,10.0,14.0,166.0,2.0,10.0,15.0,229.0,0.0,1.0,1.0,7.1725,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,83.09436392113066
mp-771032_Na,"mp-771032, mp-772153",mp-771032,mp-772153,270.81228175088603,3.3144571365517272,0.125,1.9583,1.8333,3.3490292954554715,12.641429421221751,-30.97598211923077,1.89638721,-6.195196423846154,-1.8427820064157816,0.0097803000000027,-0.0253667110221045,2.0,1.0,6.196452413398398,5.0,0.0,1.5241351219512196,0.7490092682926829,3.1632258793272445,13.493591052391391,0.481296,-6.32504759,-1.7201424122377869,0.0,-0.0049411217129256,6.0,7.0,72.86115611298726,6.738384,5.305297,9.20656,87.005765,90.0,90.0,6.654326,5.291057,9.198595,89.335116,90.0,90.0,20.0,0.0,4.0,4.496,0.0,597.46,1.5384615384615383,5.769230769230769,1.6153846153846154,1.9230769230769231,14.6423076923,28.99408284023669,688.9830769230771,5.183431952662722,0.6627218934911243,39.07692307692308,0.9294674556213016,1.6449704142011834,2.603550295857988,2.473372781065089,0.9940828402366864,7.897810650876924,99.40828402366864,2.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,20.0,0.0,3.0,0.0,4.496,0.0,69.83333333333333,616.3425,12.833333333333334,2.75,1.6666666666666663,0.0,6.166666666666666,1.75,0.0,2.0,13.425555555550002,0.3746666666666667,0.0,93.91666666666666,23.583333333333336,736.9570833333333,4.25,0.6666666666666667,34.888888888888886,0.8468055555555555,1.5,2.7777777777777777,2.277777777777777,0.875,0.0,95.56944444444444,2.0,100.0,2.51,10.0,14.0,166.0,2.0,10.0,15.0,229.0,0.0,1.0,1.0,5.64,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,80.8629181072805
mp-770765_Na,"mp-771164, mp-770765",mp-771164,mp-770765,261.2734159836843,3.5031372090517188,1.4399,2.4741,1.0342,3.135456259382384,13.102957043159837,-33.69629481826924,1.10343035,-6.739258963653847,-2.19349570773099,0.0168469636160466,-0.0253667110221045,4.0,1.0,6.196452413398398,5.0,0.0,0.3212,0.3212,2.9891820001645164,13.825223833735215,0.19900284,-6.898725335416668,-2.084358915954263,0.0558023056945113,-0.056951962266642,2.0,1.0,72.86115611298726,5.287989,11.490683,11.485747,102.3324,91.610201,88.381494,6.582869,5.467183,9.232473,86.955338,90.0,90.0,15.0,0.0,3.0,1.524,0.000310120689655,496.4007692307693,1.153846153846154,5.384615384615385,1.6923076923076923,2.3076923076923075,14.715391246676926,30.035502958579883,533.5073372781065,5.562130177514794,0.6627218934911243,39.26627218934912,1.0007100591715976,1.7396449704142012,1.952662721893491,2.390532544378698,1.0414201183431953,7.852836155875741,96.42603550295858,2.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,15.0,0.0,2.0,5.0,1.524,0.000310120689655,68.41666666666666,506.86166666666657,12.416666666666668,2.666666666666667,1.25,0.0,5.75,1.8333333333333333,0.4166666666666666,2.416666666666667,13.504729406125,0.127,2.584339080458333e-05,90.91666666666666,24.875000000000007,572.7358333333333,4.708333333333333,0.6666666666666667,35.222222222222214,0.9304166666666668,1.6111111111111112,2.083333333333333,2.0416666666666665,0.9166666666666664,4.7379549808402766e-05,92.06944444444444,2.0,100.0,2.51,10.0,14.0,166.0,2.0,10.0,15.0,229.0,0.0,1.0,1.0,7.1725,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,83.3286750888558
mp-1210177_Na,"mp-1222017, mp-1210177",mp-1222017,mp-1210177,187.7947913058404,4.169085676551706,0.0302000000000002,2.8692,2.839,4.068098393878016,11.849345285492989,-38.71887725625,2.86896802,-7.743775451249999,-2.381710489850574,0.0,-0.0008353924999964,6.0,2.0,6.196452413398398,5.0,0.0,1.5241351219512196,0.7490092682926829,4.055351848510367,12.016747446917464,2.48909343,-7.862310423947369,-2.287638111603146,0.0369931773684211,-0.056951962266642,6.0,2.0,72.86115611298726,8.860819,8.860819,6.678312,73.06988,73.06988,93.342983,6.816628,8.657493,8.657493,92.074729,108.093912,108.093912,25.0,0.0,2.0,4.875,0.000930362068965,388.615,1.25,6.0,1.65,2.5,12.70034031198,15.6,423.747,3.45,0.78,31.26,0.8064,1.4250000000000005,2.0,0.8,0.8250000000000001,4.9782346059,79.125,3.0,1.0,1.0,2.0,1.0,29.2433333333,229.0,2.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,0.0,12.0,25.0,0.0,1.0,15.0,4.875,0.000930362068965,79.68421052631578,389.54894736842107,14.157894736842104,3.0,1.3157894736842106,0.0,6.2631578947368425,1.7368421052631575,0.7894736842105263,2.578947368421052,11.829656468752631,0.256578947368421,4.896642468236841e-05,54.00000000000001,10.288088642659286,445.65623268698056,2.592797783933518,0.7977839335180055,27.98891966759003,0.7266481994459834,1.263157894736842,2.0775623268698062,0.7313019390581719,0.7313019390581718,8.246976788609416e-05,69.47368421052632,3.0,79.0,1.89,10.0,6.0,145.0,2.0,10.0,11.0,225.0,0.0,5.0,1.0,9.105,3.44,2.0,0.0,6.0,0.0,2.0,2.0,9.105,0.0,12.0,46.162794765129206
